순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
1064,470310,UNICORN 생성형AI강소기업액티브,K Market,1X,17840.0,222,3000000.0,,,,-5.0307,,,
1065,0132D0,KoAct 글로벌K컬처밸류체인액티브,K Market,1X,9250.0,337,3000000.0,,,,-3.1921,,,
1066,295020,RISE 국채선물10년인버스,K Market,-1X,61150.0,59,3000000.0,-0.76,0.59,0.58,1.85,5.81,13.4,11.51
1067,220130,SOL 차이나강소기업CSI500(합성 H),K Market,1X,6870.0,557,3000000.0,,,,-8.0937,,,
1068,395280,HANARO Fn K-게임,K Market,1X,3365.0,1157,3000000.0,,,,-10.2667,,,
1069,139660,KIWOOM 미국달러선물인버스,K Market,-1X,8385.0,343,2000000.0,-2.67,-2.95,0.12,11.06,7.71,-0.24,-6.83
1070,402460,HANARO Fn K-메타버스MZ,K Market,1X,14230.0,197,2000000.0,,,,-19.1232,,,
1071,448570,FOCUS AI코리아액티브,K Market,1X,30005.0,76,2000000.0,,,,-17.907,,,
1072,253280,RISE 헬스케어,K Market,1X,11930.0,229,2000000.0,,,,-15.51,,,
1073,498610,RISE 인도디지털성장,K Market,1X,7955.0,326,2000000.0,,,,-7.3364,,,
1074,244670,KODEX 밸류Plus,K Market,1X,11615.0,215,2000000.0,,,,-0.9802,,,
1075,469530,RISE 미국달러선물인버스,K Market,-1X,9385.0,261,2000000.0,-2.85,-2.75,0.05,11.13,8.12,0.27,
1076,337150,KODEX 200exTOP,K Market,1X,25100.0,98,2000000.0,,,,-17.5422,,,
1077,140570,RISE 수출주,K Market,1X,25570.0,90,2000000.0,,,,-14.7809,,,
1078,429980,SOL 한국형글로벌전기차&2차전지액티브,K Market,1X,16685.0,127,2000000.0,,,,-22.0328,,,
1079,491700,HK 200,K Market,1X,110450.0,23,2000000.0,,,,-25.1517,,,
1080,494180,TIME 글로벌소비트렌드액티브,K Market,1X,13185.0,178,2000000.0,,,,-5.9894,,,
1081,0000Y0,HK 26-12 회사채(AA-이상)액티브,K Market,1X,102000.0,24,2000000.0,,,,0.7307,,,
1082,289250,TIGER MSCI KOREA ESG유니버설,K Market,1X,35005.0,69,2000000.0,,,,-23.7001,,,
1083,282000,RISE 국고채3년선물인버스,K Market,-1X,115360.0,18,2000000.0,-0.04,0.52,0.58,0.68,1.95,5.36,8.88
1084,459790,KIWOOM 미국성장기업30액티브,K Market,1X,20435.0,121,2000000.0,,,,-15.94,,,
1085,244620,KODEX 모멘텀Plus,K Market,1X,20430.0,78,1000000.0,,,,-22.4079,,,
1086,280320,ACE 미국IT인터넷(합성 H),K Market,1X,21650.0,52,1000000.0,,,,8.6302,,,
1087,395760,PLUS ESG성장주액티브,K Market,1X,21230.0,77,1000000.0,,,,-23.4542,,,
1088,491510,파워 K-주주가치액티브,K Market,1X,17680.0,80,1000000.0,,,,-5.0097,,,
1089,476000,UNICORN 포스트IPO액티브,K Market,1X,5040.0,224,1000000.0,,,,-30.959,,,
1090,219900,ACE 중국본토CSI300레버리지(합성),K Market,2X,4115.0,454,1000000.0,9.44,4.71,-3.4,-33.95,-15.76,6.33,31.01
1091,138920,KODEX 콩선물(H),K Market,1X,12855.0,119,1000000.0,,,,13.2599,,,
1092,426150,WON 대한민국국고채액티브,K Market,1X,51035.0,20,1000000.0,,,,-2.185,,,
1093,256450,PLUS 심천차이넥스트(합성),K Market,1X,14620.0,72,1000000.0,,,,-28.1926,,,
1094,435530,KIWOOM TDF2030액티브 적격,K Market,1X,15290.0,74,1000000.0,,,,-8.8787,,,
1095,0084D0,KIWOOM 미국테크100월간목표헤지액티브,K Market,1X,11300.0,160,1000000.0,,,,-12.182,,,
1096,252000,TIGER 200동일가중,K Market,1X,19490.0,90,1000000.0,,,,-7.8266,,,
1097,0098Z0,FOCUS 200,K Market,1X,93600.0,15,1000000.0,,,,-25.4591,,,
1098,0078V0,PLUS 미국로보택시,K Market,1X,9125.0,127,1000000.0,,,,-15.4702,,,
1099,474390,SOL 국고채30년액티브,K Market,1X,40300.0,49,1000000.0,,,,-6.5074,,,
1100,225050,TIGER 유로스탁스레버리지(합성 H),K Market,2X,15625.0,119,1000000.0,-2.44,-4.23,-6.3,-2.47,18.37,29.31,67.24
1101,316300,ACE 싱가포르리츠,K Market,1X,12465.0,159,1000000.0,,,,-12.1837,,,
1102,464240,KIWOOM 26-09회사채(AA-이상)액티브,K Market,1X,52055.0,35,1000000.0,,,,0.7107,,,
1103,439860,KODEX ESG종합채권(A-이상)액티브,K Market,1X,113500.0,11,1000000.0,,,,0.3226,,,
1104,368190,HANARO Fn K-뉴딜디지털플러스,K Market,1X,7610.0,135,1000000.0,,,,-10.2595,,,
1105,280920,PLUS 주도업종,K Market,1X,22905.0,45,1000000.0,,,,-25.2082,,,
1106,0203R0,WON 중단기종합채권(A-이상)액티브,K Market,1X,50415.0,30,1000000.0,,,,0.4983,,,
1107,0084E0,KIWOOM 미국대형주500월간목표헤지액티브,K Market,1X,10105.0,145,1000000.0,,,,-10.3961,,,
1108,304670,KODEX 미국30년국채울트라선물인버스(H),K Market,-1X,12470.0,89,1000000.0,-1.03,0.69,0.65,5.32,5.9,7.5,16.98
1109,400590,SOL 글로벌탄소배출권선물ICE(합성),K Market,1X,14095.0,89,1000000.0,,,,-7.3612,,,
1110,451670,RISE 국채30년레버리지(합성),K Market,2X,12000.0,74,888000.0,3.23,0.13,2.96,-10.65,-32.47,-50.71,-31.58
1111,465620,ACE 미국빅테크TOP7 Plus인버스(합성),K Market,-1X,6340.0,116,735440.0,-4.23,-3.13,-3.21,1.04,-15.07,-22.72,
1112,334700,RISE 팔라듐선물인버스(H),K Market,-1X,3295.0,161,530495.0,-0.6,5.61,2.01,-6.13,4.94,-30.75,-39.36
1113,292770,KODEX 국채선물3년인버스,K Market,-1X,58085.0,7,406595.0,0.09,0.54,0.68,0.82,2.16,5.56,9.62
1114,291680,RISE 차이나H선물인버스(H),K Market,-1X,7890.0,48,378720.0,-0.82,1.28,3.07,-4.01,1.02,4.96,-34.15
1115,167860,KIWOOM 국고채10년레버리지,K Market,2X,90760.0,3,272280.0,0.93,-1.32,-0.92,-1.92,-8.28,-18.02,-1.62
1116,205720,ACE 일본TOPIX인버스(합성 H),K Market,-1X,1455.0,82,119310.0,-0.82,0.69,-0.82,-1.29,-14.11,-28.61,-55.34
1117,267490,RISE 미국장기국채선물레버리지(합성 H),K Market,2X,4915.0,15,73725.0,2.4,-1.9,-1.31,-7.09,-10.15,-14.04,-26.4
1118,0193M0,BNK 27-12 특수채(AAA이상)액티브,K Market,1X,50375.0,2,0.0,,,,0.6694,,,
1119,281990,RISE 중소형고배당,K Market,1X,17625.0,42,0.0,,,,-1.0186,,,
1120,451150,에셋플러스 글로벌영에이지액티브,K Market,1X,17125.0,8,0.0,,,,-10.7143,,,
1121,454780,KIWOOM 종합채권(AA-이상)액티브,K Market,1X,99385.0,4,0.0,,,,-0.9321,,,
1122,0191W0,HANARO 중기종합채권(A-이상)액티브,K Market,1X,100795.0,0,0.0,,,,0.4434,,,
1123,337120,KODEX 멀티팩터,K Market,1X,34670.0,14,0.0,,,,-24.7466,,,
1124,265690,ACE 러시아MSCI(합성),K Market,1X,8535.0,0,0.0,,,,,,,
1125,104520,KIWOOM 블루칩,K Market,1X,14560.0,57,0.0,,,,-11.5713,,,
1126,234310,RISE V&S셀렉트밸류,K Market,1X,28005.0,17,0.0,,,,-16.095,,,
1127,244660,KODEX 퀄리티Plus,K Market,1X,9225.0,48,0.0,,,,-2.0629,,,
1128,272570,RISE 중장기국공채액티브,K Market,1X,107475.0,4,0.0,,,,-0.1997,,,
1129,321410,KODEX 멀티에셋하이인컴(H),K Market,1X,10490.0,4,0.0,,,,-1.5398,,,
1130,226380,ACE Fn성장소비주도주,K Market,1X,5700.0,20,0.0,,,,-2.8133,,,
1131,310080,RISE 중국MSCI China(H),K Market,1X,9020.0,75,0.0,,,,-0.5513,,,
1132,472920,HK 종합채권(AA-이상)액티브,K Market,1X,97915.0,0,0.0,,,,-1.096,,,
1133,461500,HANARO 종합채권(AA-이상)액티브,K Market,1X,104805.0,9,0.0,,,,-0.9077,,,
1134,445690,BNK 주주가치액티브,K Market,1X,30650.0,11,0.0,,,,-16.994,,,
1135,496130,TRUSTON 코리아밸류업액티브,K Market,1X,25215.0,16,0.0,,,,-24.8324,,,
1136,498180,파워 종합채권(AA-이상)액티브,K Market,1X,93155.0,2,0.0,,,,-1.0306,,,
1137,391670,HK 베스트일레븐액티브,K Market,1X,28675.0,24,0.0,,,,-28.4899,,,
1138,363510,SOL KIS단기통안채,K Market,1X,112275.0,3,0.0,,,,0.5642,,,
1139,140580,RISE 우량업종대표주,K Market,1X,23915.0,20,0.0,,,,-17.1632,,,
1140,0026E0,KODEX 미국S&P500버퍼3월액티브,K Market,1X,11760.0,29,0.0,,,,-5.807,,,
1141,0113P0,HK 머니마켓액티브,K Market,1X,102555.0,0,0.0,,,,0.7961,,,
1142,0218K0,BNK 스마트카,K Market,1X,10435.0,35,0.0,,,,,,,
1143,285690,FOCUS ESG리더스,K Market,1X,21515.0,2,0.0,,,,-15.2119,,,
1144,122260,KIWOOM 통안채1년,K Market,1X,104240.0,3,0.0,,,,0.5692,,,
1145,462340,에셋플러스 글로벌다이나믹시니어액티브,K Market,1X,16490.0,10,0.0,,,,-0.9313,,,
1146,182490,TIGER 단기선진하이일드(합성 H),K Market,1X,13770.0,68,0.0,,,,-0.5058,,,
1147,145850,TREX 펀더멘탈 200,K Market,1X,117290.0,5,0.0,,,,-16.0006,,,
1148,457930,BNK 미래전략기술액티브,K Market,1X,27905.0,15,0.0,,,,-19.0339,,,
1149,449680,TIGER 한중전기차(합성),K Market,1X,10110.0,41,0.0,,,,-25.4425,,,
1150,0052T0,1Q 중단기회사채(A-이상)액티브,K Market,1X,50730.0,0,0.0,,,,0.7247,,,
1151,215620,HK S&P코리아로우볼,K Market,1X,16070.0,1,0.0,,,,-1.0468,,,
1152,189400,PLUS 글로벌MSCI(합성 H),K Market,1X,25710.0,18,0.0,,,,-0.1283,,,
1153,450180,KODEX 한중전기차(합성),K Market,1X,10265.0,27,0.0,,,,-26.1511,,,
1154,456200,PLUS 미국달러SOFR금리액티브(합성),K Market,1X,60070.0,4,0.0,,,,-8.409,,,
1155,0166T0,PLUS 글로벌저작권핵심기업액티브,K Market,1X,9450.0,33,0.0,,,,-5.9702,,,
1156,475260,ACE 2월만기자동연장회사채AA-이상액티브,K Market,1X,10765.0,77,0.0,,,,0.8903,,,
1157,0141T0,SOL 중기종합채권(AA-이상)액티브,K Market,1X,50205.0,4,0.0,,,,0.3197,,,
1158,407300,HANARO Fn골프테마,K Market,1X,10400.0,2,0.0,,,,-22.4532,,,
1159,401590,HANARO 글로벌탄소배출권선물ICE(합성),K Market,1X,11340.0,13,0.0,,,,-6.281,,,
1160,433250,UNICORN R&D 액티브,K Market,1X,23400.0,4,0.0,,,,-24.4431,,,
1161,326230,RISE 내수주플러스,K Market,1X,10895.0,66,0.0,,,,-9.1705,,,
1162,432600,RISE 국채선물3년,K Market,1X,55170.0,4,0.0,,,,0.2452,,,
1163,267450,RISE 미국장기국채선물인버스(H),K Market,-1X,11250.0,0,0.0,-1.19,0.63,1.35,5.34,4.55,4.85,11.29
1164,436140,SOL 종합채권(AA-이상)액티브,K Market,1X,105970.0,5,0.0,,,,-1.0182,,,
1165,336160,RISE 금융채액티브,K Market,1X,99970.0,6,0.0,,,,0.1985,,,
1166,475270,ACE 5월만기자동연장회사채AA-이상액티브,K Market,1X,10745.0,4,0.0,,,,0.6557,,,
1167,0191M0,마이티 5월만기자동연장특수채(AAA)액티브,K Market,1X,100815.0,0,0.0,,,,0.6338,,,
1168,267440,RISE 미국장기국채선물(H),K Market,1X,8010.0,90,0.0,,,,-2.614,,,
1169,295000,RISE 국채선물10년,K Market,1X,50970.0,14,0.0,,,,-1.5929,,,
1170,266550,PLUS 중형주저변동50,K Market,1X,18525.0,1,0.0,,,,-5.3882,,,
1171,454180,KIWOOM 차이나내수소비TOP CSI,K Market,1X,7365.0,136,0.0,,,,-6.3055,,,
1,QQQ,Invesco QQQ Trust (나스닥100),US Market,1X,735.92,15596961,11478115539.12,3.77,2.36,3.52,-0.28,26.73,24.21,
2,SPY,SPDR S&P 500 ETF Trust,US Market,1X,769.24,13573630,10441379141.2,1.35,0.12,1.12,3.59,19.21,17.73,
3,SOXL,Direxion Daily Semiconductor Bull 3X (반도체 3X),US Market,3X,137.99,28066492,3872895231.08,36.45,17.66,12.91,-54.12,169.83,310.31,
4,TQQQ,ProShares UltraPro QQQ (나스닥100 3X),US Market,3X,77.29,24720479,1910645821.91,11.58,6.8,9.66,-6.19,80.12,54.07,
5,SMH,VanEck Semiconductor ETF (반도체 대표),US Market,1X,589.43,2890670,1703847618.1,8.85,3.95,4.76,-11.88,53.2,86.54,
6,SOXX,iShares Semiconductor ETF (반도체 지수),US Market,1X,553.62,2851630,1578719400.6,11.38,6.56,6.06,-15.42,66.69,107.57,
7,SOXS,Direxion Daily Semiconductor Bear 3X (반도체 -3X),US Market,-3X,36.73,40349822,1482048962.06,-29.0,-20.74,-20.58,12.6,-99.39,-99.77,
8,IWM,iShares Russell 2000 ETF (소형주),US Market,1X,285.56,4798874,1370366459.44,-0.56,-3.28,-3.82,-3.98,18.48,17.82,
9,VOO,Vanguard S&P 500 ETF,US Market,1X,708.88,1558813,1105011359.44,1.37,0.12,1.12,3.62,19.27,17.79,
10,GLD,SPDR Gold Shares (금 현물),US Market,1X,398.24,2467129,982509452.96,1.37,-2.1,-4.1,3.55,-3.66,18.66,
11,HYG,iShares iBoxx $ High Yield Corporate Bond (하이일드 채권),US Market,1X,78.69,12156709,956611431.21,0.21,-0.59,-0.55,-0.08,2.76,2.78,
12,TLT,iShares 20+ Year Treasury Bond ETF (미국 20년+ 국채),US Market,1X,81.62,11201964,914304301.68,0.85,-0.72,-0.49,-4.09,-2.68,-4.29,
13,SQQQ,ProShares UltraPro Short QQQ (나스닥100 -3X),US Market,-3X,35.47,24601743,872623824.21,-10.96,-7.11,-9.92,-2.43,-54.74,-52.4,
14,XLE,Energy Select Sector SPDR (에너지 섹터),US Market,1X,62.69,13869676,869489988.44,-2.85,-2.14,-1.66,15.96,7.16,44.12,
15,SGOV,iShares 0-3 Month Treasury Bond ETF (0-3개월 단기국채),US Market,1X,100.59,8312425,836146830.75,0.06,0.12,0.31,0.9,1.82,3.77,
16,IVV,iShares Core S&P 500 ETF,US Market,1X,772.6,839888,648897468.8,1.35,0.12,1.11,3.62,19.29,17.79,
17,XLF,Financial Select Sector SPDR (금융 섹터),US Market,1X,55.79,10166856,567208896.24,-2.17,-3.97,-2.03,3.9,14.67,4.68,
18,LQD,iShares iBoxx $ Investment Grade Corporate Bond (투자등급 회사채),US Market,1X,104.94,5028582,527699395.08,0.62,-0.51,-0.64,-2.36,-0.35,-1.75,
19,XLK,Technology Select Sector SPDR (테크 섹터),US Market,1X,193.32,2598271,502297749.72,4.91,3.23,5.58,0.61,43.24,40.76,
20,XLI,Industrial Select Sector SPDR (산업재 섹터),US Market,1X,169.61,2849984,483385786.24,-0.19,-3.23,-5.65,-6.71,5.46,12.47,
21,DIA,SPDR Dow Jones Industrial Average ETF (다우존스),US Market,1X,517.95,910378,471530285.1,-1.02,-2.8,-1.51,0.51,14.42,13.93,
22,VTI,Vanguard Total Stock Market ETF (미국 전체 주식),US Market,1X,379.15,987919,374569488.85,1.19,-0.15,0.68,3.1,19.07,17.23,
23,TSLL,Direxion Daily TSLA Bull 2X (테슬라 2X),US Market,2X,10.23,35710158,365314916.34,9.12,11.75,15.15,-23.49,-14.32,-42.53,
24,XLV,Health Care Select Sector SPDR (헬스케어 섹터),US Market,1X,168.76,2160064,364532400.64,0.6,-1.57,-2.11,12.46,17.11,24.91,
25,RSP,Invesco S&P 500 Equal Weight ETF (동일가중 S&P500),US Market,1X,212.16,1709979,362789144.64,-1.33,-3.12,-3.69,1.22,12.29,13.79,
26,SCHD,Schwab U.S. Dividend Equity ETF (미국 배당성장),US Market,1X,33.65,10164587,342038352.55,-2.02,-3.31,-3.4,6.35,12.54,27.08,
27,AGG,iShares Core U.S. Aggregate Bond ETF (미국 종합 채권),US Market,1X,96.17,3410355,327973840.35,0.29,-0.86,-1.02,-1.49,-0.52,-0.22,
28,EEM,iShares MSCI Emerging Markets ETF (신흥국 주식),US Market,1X,68.46,4735179,324170354.34,3.74,-0.35,2.76,-3.86,23.68,31.38,
29,USO,United States Oil Fund (원유),US Market,1X,148.44,2054592,304983636.48,-5.25,4.56,10.33,31.72,22.24,98.74,
30,XLU,Utilities Select Sector SPDR (유틸리티 섹터),US Market,1X,40.79,7125788,290660892.52,-2.47,-5.32,-6.81,-8.79,-7.42,-0.66,
31,SLV,iShares Silver Trust (은 현물),US Market,1X,59.63,4768942,284372011.46,4.92,-0.31,-3.28,1.23,-3.06,56.98,
32,EFA,iShares MSCI EAFE ETF (선진국 주식),US Market,1X,106.01,2590937,274665231.37,0.15,-2.16,-1.25,1.37,15.06,17.44,
33,XLP,Consumer Staples Select Sector SPDR (필수소비재),US Market,1X,81.94,3316781,271777035.14,-2.94,-3.12,-3.96,-0.29,2.07,5.87,
34,BIL,SPDR Bloomberg 1-3 Month T-Bill ETF (초단기 국채),US Market,1X,91.56,2876557,263377558.92,0.07,0.12,0.3,0.89,1.78,3.7,
35,EMB,iShares J.P. Morgan USD Emerging Markets Bond (신흥국 국채),US Market,1X,93.72,2390766,224062589.52,0.54,-0.79,-0.57,-1.52,3.29,3.73,
36,KORU,Direxion Daily MSCI South Korea Bull 3X (한국 3X),US Market,3X,22.23,9980553,221867693.19,19.68,-5.3,9.32,-59.17,38.52,311.87,
37,NVDL,GraniteShares 2x Long NVDA (엔비디아 2X),US Market,2X,35.89,5958777,213860506.53,13.76,-4.78,5.43,9.63,49.35,27.98,
38,JEPQ,JPMorgan Nasdaq Equity Premium Income ETF (나스닥 커버드콜),US Market,1X,60.85,3429868,208707467.8,2.53,1.64,3.16,2.57,16.27,19.75,
39,IWF,iShares Russell 1000 Growth ETF (대형성장주),US Market,1X,125.28,1661464,208148209.92,3.41,1.61,2.93,2.98,17.45,8.37,
40,BITX,2x Bitcoin Strategy ETF (비트코인 2X),US Market,2X,20.89,9452601,197464834.89,17.43,14.47,36.0,67.08,31.94,-62.12,
41,ARKK,ARK Innovation ETF (혁신성장 테크),US Market,1X,90.46,2063469,186661405.74,6.78,4.92,8.63,15.34,30.82,8.78,
42,CONL,GraniteShares 2x Long COIN (코인베이스 2X),US Market,2X,7.0,26213481,183494367.0,11.21,17.97,30.03,27.42,-24.37,-82.15,
43,VT,Vanguard Total World Stock ETF (전세계 주식),US Market,1X,160.19,1108738,177608740.22,1.18,-0.7,0.42,1.93,18.24,18.63,
44,QLD,ProShares Ultra QQQ (나스닥100 2X),US Market,2X,94.87,1848665,175382848.55,7.68,4.62,6.66,-2.81,52.83,40.8,
45,XLB,Materials Select Sector SPDR (소재 섹터),US Market,1X,49.76,3485055,173416336.8,-1.46,-5.12,-5.08,-3.61,6.78,11.5,
46,VXUS,Vanguard Total International Stock ETF (미국 제외 전세계),US Market,1X,86.89,1662515,144455928.35,1.17,-1.54,0.02,-0.01,17.04,21.49,
47,RWM,ProShares Short Russell2000 (러셀2000 -1X),US Market,-1X,14.1,10195563,143757438.3,0.75,3.64,4.41,5.26,-14.39,-12.74,
48,XLY,Consumer Discretionary Select Sector SPDR (임의소비재),US Market,1X,111.56,1214941,135538817.96,-1.14,-2.92,-4.39,-2.94,3.96,-6.5,
49,PSQ,ProShares Short QQQ (나스닥100 -1X),US Market,-1X,25.19,5242855,132067517.45,-3.65,-2.26,-3.13,0.76,-20.56,-17.3,
50,BND,Vanguard Total Bond Market ETF (미국 종합 채권),US Market,1X,71.36,1738496,124059074.56,0.26,-0.83,-1.01,-1.43,-0.47,-0.2,
51,QID,ProShares UltraShort QQQ (나스닥100 -2X),US Market,-2X,13.5,9083088,122621688.0,-7.29,-4.6,-6.52,-0.18,-39.24,-36.11,
52,IWD,iShares Russell 1000 Value ETF (대형가치주),US Market,1X,252.66,476287,120338673.42,-0.7,-1.57,-1.01,4.13,20.38,26.33,
53,UPRO,ProShares UltraPro S&P500 (S&P500 3X),US Market,3X,151.6,769449,116648468.4,3.84,-0.18,2.24,7.44,56.84,39.93,
54,IEMG,iShares Core MSCI Emerging Markets ETF (신흥국 코어),US Market,1X,83.32,1359969,113312617.08,3.64,-0.39,2.81,-3.11,22.85,29.81,
55,XLRE,Real Estate Select Sector SPDR (부동산 섹터),US Market,1X,42.44,2483323,105392228.12,-1.57,-3.38,-5.85,-3.58,6.2,4.39,
56,IEF,iShares 7-10 Year Treasury Bond ETF (미국 7-10년 국채),US Market,1X,91.07,1058128,96363716.96,0.15,-1.28,-1.73,-2.12,-2.05,-2.07,
57,VNQ,Vanguard Real Estate ETF (리츠/부동산),US Market,1X,93.61,1016986,95200059.46,-0.76,-2.51,-5.06,-2.23,7.54,5.4,
58,SPXU,ProShares UltraPro Short S&P500 (S&P500 -3X),US Market,-3X,34.22,2771828,94851954.16,-3.84,-0.1,-2.49,-8.5,-39.98,-35.71,
59,VYM,Vanguard High Dividend Yield ETF (고배당),US Market,1X,159.22,542729,86413311.38,-1.01,-2.51,-2.38,1.08,10.97,15.95,
60,SH,ProShares Short S&P500 (S&P500 -1X),US Market,-1X,32.37,2587934,83771423.58,-1.25,0.06,-0.64,-2.16,-14.05,-10.55,
61,VIG,Vanguard Dividend Appreciation ETF (배당성장),US Market,1X,237.52,339537,80646828.24,-0.44,-1.86,-1.94,1.33,12.45,11.94,
62,JEPI,JPMorgan Equity Premium Income ETF (월배당 커버드콜),US Market,1X,56.49,1414676,79915047.24,-0.04,-1.28,-1.5,2.75,5.02,7.49,
63,TNA,Direxion Daily Small Cap Bull 3X (러셀2000 3X),US Market,3X,62.88,1143570,71907681.6,-1.88,-10.04,-12.17,-14.6,51.43,33.94,
64,FNGU,MicroSectors FANG+ Index 3X (빅테크 3X),US Market,3X,34.75,2049545,71221688.75,7.05,5.24,11.81,28.32,102.27,14.91,
65,AGQ,ProShares Ultra Silver (은 2X),US Market,2X,80.66,873995,70496436.7,9.83,-1.27,-7.97,-3.19,-17.82,30.39,
66,SSO,ProShares Ultra S&P500 (S&P500 2X),US Market,2X,70.79,993966,70362853.14,2.61,-0.02,1.69,5.55,37.06,28.94,
67,TZA,Direxion Daily Small Cap Bear 3X (러셀2000 -3X),US Market,-3X,44.19,1554496,68693178.24,1.87,10.75,13.08,14.13,-41.55,-42.73,
68,SDS,ProShares UltraShort S&P500 (S&P500 -2X),US Market,-2X,54.12,1212646,65628401.52,-2.55,-0.01,-1.56,-5.28,-27.87,-23.59,
69,UNG,United States Natural Gas Fund (천연가스),US Market,1X,10.31,6321540,65175077.4,-0.24,-2.41,2.95,-12.45,-16.83,-18.67,
70,TECL,Direxion Daily Technology Bull 3X (테크 3X),US Market,3X,224.56,280155,62911606.8,15.75,9.37,15.68,-6.3,143.71,104.69,
71,UDOW,ProShares UltraPro Dow30 (다우30 3X),US Market,3X,66.86,932601,62353702.86,-3.35,-8.73,-5.65,-1.55,39.22,27.59,
72,UGL,ProShares Ultra Gold (금 2X),US Market,2X,50.1,1231940,61720194.0,2.68,-4.41,-8.79,4.57,-12.44,21.45,
73,LABU,Direxion Daily S&P Biotech Bull 3X (바이오 3X),US Market,3X,270.55,201730,54578051.5,0.8,-10.87,-11.27,17.62,89.54,220.81,
74,SCO,ProShares UltraShort Bloomberg Crude Oil (원유 -2X),US Market,-2X,20.5,2549102,52256591.0,0.51,-8.62,-13.63,-37.33,-35.36,-69.88,
75,DOG,ProShares Short Dow30 (다우30 -1X),US Market,-1X,22.0,2112384,46472448.0,1.15,3.09,1.99,0.61,-10.64,-7.81,
76,BOIL,ProShares Ultra Bloomberg Natural Gas (천연가스 2X),US Market,2X,19.56,2275332,44505493.92,-1.71,-4.07,3.22,-31.03,-46.12,-65.37,
77,SHY,iShares 1-3 Year Treasury Bond ETF (미국 1-3년 단기국채),US Market,1X,81.31,544468,44270693.08,-0.04,-0.47,-0.58,0.15,0.56,1.62,
78,QUAL,iShares MSCI USA Quality Factor ETF (우량 퀄리티),US Market,1X,221.15,197091,43586674.65,0.67,-0.43,-0.3,2.69,15.7,16.23,
79,ZSL,ProShares UltraShort Silver (은 -2X),US Market,-2X,23.25,1847919,42964116.75,-9.18,-0.43,5.2,-10.34,-18.65,-87.87,
80,TMF,Direxion Daily 20+ Year Treasury Bull 3X (미국장기채 3X),US Market,3X,30.06,1412924,42472495.44,2.19,-2.64,-2.61,-14.63,-13.61,-22.96,
81,AMZU,Direxion Daily AMZN Bull 2X (아마존 2X),US Market,2X,35.95,1148206,41278005.7,0.81,-3.23,-5.27,12.67,37.33,-2.28,
82,MSFU,Direxion Daily MSFT Bull 2X (마이크로소프트 2X),US Market,2X,36.78,1067334,39256544.52,-5.1,-3.04,3.77,70.25,50.34,-21.88,
83,LABD,Direxion Daily S&P Biotech Bear 3X (바이오 -3X),US Market,-3X,7.09,5344908,37895397.72,-2.21,9.92,8.08,-28.56,-65.22,-83.99,
84,KOLD,ProShares UltraShort Bloomberg Natural Gas (가스 -2X),US Market,-2X,29.56,1110901,32838233.56,1.58,3.5,-4.43,33.39,49.22,-20.54,
85,NAIL,Direxion Daily Homebuilders & Supplies Bull 3X (건설 3X),US Market,3X,29.16,1090986,31813151.76,-5.45,-17.39,-25.23,-32.45,-17.57,-64.02,
86,UCO,ProShares Ultra Bloomberg Crude Oil (원유 2X),US Market,2X,51.65,580444,29979932.6,-0.83,9.2,14.04,45.13,20.26,123.4,
87,USD,ProShares Ultra Semiconductors (반도체 2X),US Market,2X,92.64,289104,26782594.56,18.11,4.32,8.51,-16.04,88.13,98.4,
88,FAS,Direxion Daily Financial Bull 3X (금융 3X),US Market,3X,162.24,152694,24773074.56,-5.73,-10.92,-6.16,9.35,41.05,-1.5,
89,GLL,ProShares UltraShort Gold (금 -2X),US Market,-2X,22.86,1036824,23701796.64,-2.68,4.53,8.55,-8.05,3.44,-38.48,
90,SDOW,ProShares UltraPro Short Dow30 (다우30 -3X),US Market,-3X,24.92,917166,22855776.72,3.3,9.13,5.39,-0.19,-32.14,-29.01,
91,YINN,Direxion Daily FTSE China Bull 3X (중국 3X),US Market,3X,27.2,764880,20804736.0,-1.48,-10.29,-9.15,6.12,-11.99,-49.46,
92,DXD,ProShares UltraShort Dow30 (다우30 -2X),US Market,-2X,17.61,1089776,19190955.36,2.21,6.08,3.65,0.26,-21.87,-18.65,
93,DUST,Direxion Daily Gold Miners Bear 2X (금광 -2X),US Market,-2X,35.63,526620,18763470.6,-0.16,10.49,9.5,-35.37,-47.9,-73.09,
94,COWZ,Pacer US Cash Cows 100 ETF (잉여현금흐름),US Market,1X,68.72,244112,16775376.64,-2.61,-3.62,-2.93,12.45,12.3,22.23,
95,AAPU,Direxion Daily AAPL Bull 2X (애플 2X),US Market,2X,45.62,356288,16253858.56,2.26,10.35,15.7,23.06,70.58,73.44,
96,CWEB,Direxion Daily CSI China Internet 2X (중국인터넷 2X),US Market,2X,19.1,683979,13063998.9,1.38,-8.66,-13.46,-4.05,-27.26,-65.46,
97,BULZ,MicroSectors Solactive FANG+ 3X (FANG 3X),US Market,3X,45.24,256477,11603019.48,19.65,14.59,25.88,8.13,134.28,80.86,
98,YANG,Direxion Daily FTSE China Bear 3X (중국 -3X),US Market,-3X,30.51,380276,11602220.76,1.33,10.54,8.69,-11.4,-1.76,45.34,
