순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
880,400570,KODEX 유럽탄소배출권선물ICE(H),K Market,1X,11800.0,2638,31000000.0,,,,6.9809,,,
881,245350,TIGER 유로스탁스배당30,K Market,1X,19495.0,1581,30000000.0,,,,-3.1976,,,
882,456250,KODEX 유럽명품TOP10 STOXX,K Market,1X,8165.0,3845,30000000.0,,,,-19.2765,,,
883,461900,PLUS 미국테크TOP10,K Market,1X,22850.0,1336,30000000.0,,,,-2.9724,,,
884,332620,PLUS 미국장기우량회사채,K Market,1X,88150.0,345,30000000.0,,,,-13.3627,,,
885,381560,HANARO Fn전기&수소차,K Market,1X,17385.0,1721,29000000.0,,,,-22.1754,,,
886,486240,DAISHIN AI반도체&인프라액티브,K Market,1X,29200.0,1001,29000000.0,,,,-24.4013,,,
887,292160,TIGER KRX300,K Market,1X,48315.0,607,29000000.0,,,,-25.4414,,,
888,435040,ACE 글로벌브랜드TOP10,K Market,1X,19200.0,1562,29000000.0,,,,-6.9018,,,
889,253290,RISE 헬스케어채권혼합,K Market,1X,11390.0,2455,28000000.0,,,,-4.9249,,,
890,0127T0,KIWOOM 미국S&P500&배당다우존스비중전환,K Market,1X,11040.0,2610,28000000.0,,,,-5.8305,,,
891,417450,RISE 글로벌수소경제,K Market,1X,16200.0,1739,28000000.0,,,,-16.3275,,,
892,388280,RISE K엔터&여행레저,K Market,1X,7000.0,3870,27000000.0,,,,-20.635,,,
893,183710,RISE 주식혼합,K Market,1X,93265.0,290,27000000.0,,,,-19.81,,,
894,488480,RISE 일본섹터TOP4Plus,K Market,1X,13085.0,1995,26000000.0,,,,-7.9815,,,
895,0229F0,마이티 신약포커스바이오액티브,K Market,1X,8265.0,3207,26000000.0,,,,,,,
896,105780,RISE 5대그룹주,K Market,1X,16310.0,1570,26000000.0,,,,-28.3077,,,
897,385520,KODEX 자율주행액티브,K Market,1X,15655.0,1707,26000000.0,,,,-23.6528,,,
898,487920,ACE 인도시장대표BIG5그룹액티브,K Market,1X,7690.0,3374,26000000.0,,,,-13.0583,,,
899,0086C0,TIGER 리츠부동산인프라10채권혼합액티브,K Market,1X,9760.0,2667,26000000.0,,,,-2.8676,,,
900,0005C0,RISE 미국S&P500엔화노출(합성 H),K Market,1X,11365.0,2210,25000000.0,,,,-5.2522,,,
901,495040,PLUS 코리아밸류업,K Market,1X,31865.0,753,24000000.0,,,,-22.9643,,,
902,0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),K Market,1X,10465.0,2336,24000000.0,,,,-2.7322,,,
903,419420,KODEX 미국클린에너지나스닥,K Market,1X,8705.0,2779,24000000.0,,,,-28.725,,,
904,0028X0,KODEX 미국금융테크액티브,K Market,1X,11350.0,2200,24000000.0,,,,-1.6548,,,
905,0203D0,PLUS 200위클리커버드콜채권혼합,K Market,1X,8995.0,2685,24000000.0,,,,-12.7405,,,
906,099140,KODEX 차이나H,K Market,1X,20865.0,1156,24000000.0,,,,-4.8928,,,
907,395150,KODEX 웹툰&드라마,K Market,1X,1827.0,12961,23000000.0,,,,-8.8779,,,
908,159800,마이티 코스피100,K Market,1X,87000.0,270,23000000.0,,,,-25.9071,,,
909,376410,TIGER 탄소효율그린뉴딜,K Market,1X,24485.0,925,23000000.0,,,,-23.6209,,,
910,0112X0,마이티 200TR,K Market,1X,41290.0,527,22000000.0,,,,-25.0976,,,
911,0139F0,TIGER 12월자동연장금융채(AA-이상)액티브,K Market,1X,102255.0,221,22000000.0,,,,0.8282,,,
912,0002C0,에셋플러스 인도일등기업포커스20액티브,K Market,1X,10180.0,2243,22000000.0,,,,-3.1399,,,
913,489290,WON 미국빌리어네어,K Market,1X,15070.0,1480,22000000.0,,,,-6.1352,,,
914,483570,KCGI 미국S&P500 TOP10,K Market,1X,16055.0,1389,22000000.0,,,,-4.0634,,,
915,493420,SOL 미국배당다우존스2호,K Market,1X,12535.0,1832,22000000.0,,,,-3.9245,,,
916,276000,TIGER 글로벌자원생산기업(합성 H),K Market,1X,21240.0,1055,22000000.0,,,,8.8672,,,
917,489860,KIWOOM 글로벌전력GRID인프라,K Market,1X,14645.0,1487,22000000.0,,,,-17.2404,,,
918,396510,TIGER 차이나클린에너지SOLACTIVE,K Market,1X,6985.0,3154,22000000.0,,,,-22.6039,,,
919,250730,RISE 차이나HSCEI(H),K Market,1X,9680.0,2310,22000000.0,,,,3.4188,,,
920,461600,SOL 미국30년국채액티브(H),K Market,1X,8295.0,2544,21000000.0,,,,-5.0373,,,
921,300640,RISE 게임테마,K Market,1X,6315.0,3483,21000000.0,,,,-6.6519,,,
922,469790,KIWOOM 코리아테크TOP10,K Market,1X,42755.0,484,21000000.0,,,,-28.1044,,,
923,166400,TIGER 200커버드콜OTM,K Market,1X,24750.0,812,20000000.0,,,,0.0989,,,
924,400580,SOL 유럽탄소배출권선물S&P(H),K Market,1X,12110.0,1653,20000000.0,,,,7.6444,,,
925,476310,RISE 글로벌비만산업TOP2+,K Market,1X,9525.0,2138,20000000.0,,,,-7.0402,,,
926,0226D0,FOCUS 금융반도체지주채권혼합50액티브,K Market,1X,10165.0,2027,20000000.0,,,,,,,
927,411860,KIWOOM 독일DAX,K Market,1X,16675.0,1252,20000000.0,,,,-7.0115,,,
928,445910,TIGER MKF배당귀족,K Market,1X,20545.0,973,19000000.0,,,,-4.7168,,,
929,230480,KIWOOM 미국달러선물인버스2X,K Market,-2X,4605.0,4313,19000000.0,-5.64,-6.21,0.33,22.47,14.84,-3.76,-21.88
930,0128D0,PLUS 차이나항셍테크위클리타겟커버드콜,K Market,1X,6650.0,2919,19000000.0,,,,-13.2979,,,
931,0092C0,SOL 27-12 회사채(AA-이상)액티브,K Market,1X,50300.0,380,19000000.0,,,,0.7511,,,
932,381570,HANARO Fn친환경에너지,K Market,1X,10150.0,1944,19000000.0,,,,-15.7677,,,
933,497510,ACE 글로벌빅파마,K Market,1X,12870.0,1526,19000000.0,,,,-1.7767,,,
934,354240,RISE 미국고정배당우선증권,K Market,1X,10470.0,1810,18000000.0,,,,-12.7864,,,
935,0093B0,RISE 엔비디아고정테크100,K Market,1X,12685.0,1423,18000000.0,,,,-6.4486,,,
936,453820,KODEX 인도Nifty50레버리지(합성),K Market,2X,10800.0,1681,18000000.0,5.01,0.0,-7.49,-25.9,-20.65,-31.88,-6.53
937,404540,TIGER KRX기후변화솔루션,K Market,1X,24025.0,760,18000000.0,,,,-19.5755,,,
938,450190,KODEX 한중반도체(합성),K Market,1X,50010.0,369,18000000.0,,,,-26.4505,,,
939,277540,ACE 아시아TOP50,K Market,1X,32545.0,557,18000000.0,,,,-14.7926,,,
940,280940,KODEX 골드선물인버스(H),K Market,-1X,3440.0,5383,18000000.0,-0.72,0.73,3.3,-4.71,10.43,-18.68,-51.52
941,332610,PLUS 미국단기회사채(AAA~A),K Market,1X,125530.0,150,18000000.0,,,,-9.0296,,,
942,225030,TIGER 미국S&P500선물인버스(H),K Market,-1X,2265.0,7752,17000000.0,-0.44,0.89,0.22,-1.52,-12.88,-13.25,-36.13
943,269370,TIGER S&P글로벌인프라(합성),K Market,1X,16570.0,1034,17000000.0,,,,-14.1328,,,
944,291620,KIWOOM 코스닥150선물인버스,K Market,-1X,4280.0,4052,17000000.0,-3.6,-0.7,-2.73,10.03,16.78,-28.67,-33.18
945,488200,KIWOOM K-2차전지북미공급망,K Market,1X,12590.0,1286,16000000.0,,,,-16.7639,,,
946,460660,RISE 미국S&P배당킹,K Market,1X,11600.0,1465,16000000.0,,,,-6.2729,,,
947,417630,TIGER KEDI혁신기업ESG30,K Market,1X,19305.0,858,16000000.0,,,,-14.2953,,,
948,223190,KODEX 200가치저변동,K Market,1X,27550.0,580,16000000.0,,,,-16.1401,,,
949,0226G0,WON 피지컬AI TOP2플러스액티브,K Market,1X,12090.0,1342,16000000.0,,,,,,,
950,0123S0,HANARO 26-12 은행채(AA+이상)액티브,K Market,1X,10195.0,1631,16000000.0,,,,0.6416,,,
951,0138D0,RISE 동학개미,K Market,1X,12640.0,1294,16000000.0,,,,-25.5376,,,
952,238670,PLUS 스마트베타Quality채권혼합,K Market,1X,13535.0,1264,16000000.0,,,,0.2592,,,
953,364690,KODEX 혁신기술테마액티브,K Market,1X,38765.0,412,16000000.0,,,,-27.8081,,,
954,0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,K Market,1X,7140.0,2285,16000000.0,,,,-14.9094,,,
