순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
386,469050,RISE 미국반도체NYSE(H),K Market,1X,33490.0,24985,858000000.0,,,,-8.9666,,,
387,305080,TIGER 미국채10년선물,K Market,1X,11860.0,72351,855000000.0,,,,-13.9704,,,
388,237370,KODEX 코리아배당성장채권혼합,K Market,1X,15575.0,53964,839000000.0,,,,0.7971,,,
389,377990,TIGER Fn신재생에너지,K Market,1X,23735.0,35197,837000000.0,,,,-12.9003,,,
390,245340,TIGER 미국다우존스30,K Market,1X,34450.0,24486,836000000.0,,,,-10.4679,,,
391,448100,WON 200,K Market,1X,115105.0,7130,828000000.0,,,,-15.3493,,,
392,0018C0,PLUS 고배당주위클리고정커버드콜,K Market,1X,10475.0,79141,825000000.0,,,,7.9033,,,
393,0177A0,WON 두산그룹포커스,K Market,1X,9690.0,85544,815000000.0,,,,-8.0345,,,
394,438330,TIGER 우량회사채액티브,K Market,1X,115330.0,7057,814000000.0,,,,0.6669,,,
395,453810,KODEX 인도Nifty50,K Market,1X,11135.0,73476,814000000.0,,,,-14.4254,,,
396,472870,RISE 미국30년국채엔화노출(합성 H),K Market,1X,6770.0,119530,808000000.0,,,,-14.3024,,,
397,0209Z0,ACE 코리아AI전력TOP10,K Market,1X,7300.0,111913,806000000.0,,,,-16.5896,,,
398,0036R0,RISE 미국휴머노이드로봇,K Market,1X,20020.0,40064,806000000.0,,,,-12.423,,,
399,0153K0,KODEX 주주환원고배당주,K Market,1X,12180.0,66141,801000000.0,,,,7.4452,,,
400,0041E0,KODEX 미국S&P500액티브,K Market,1X,16265.0,48750,791000000.0,,,,-13.3882,,,
401,0023B0,PLUS 미국양자컴퓨팅TOP10,K Market,1X,16285.0,46416,780000000.0,,,,-18.8924,,,
402,480030,ACE 미국500데일리타겟커버드콜(합성),K Market,1X,9645.0,80452,772000000.0,,,,-9.1024,,,
403,465350,RISE 2차전지TOP10인버스(합성),K Market,-1X,16300.0,47166,767000000.0,2.1,6.12,-3.03,-7.81,-15.59,-52.33,
404,0091C0,KODEX 미국10년국채액티브(H),K Market,1X,9385.0,80585,758000000.0,,,,-2.373,,,
405,491220,PLUS 200TR,K Market,1X,132895.0,5625,752000000.0,,,,-14.9796,,,
406,453870,TIGER 인도니프티50,K Market,1X,10900.0,67260,732000000.0,,,,-15.3684,,,
407,0218J0,RISE 미국우주&로봇TOP2미국채혼합50,K Market,1X,9165.0,79786,728000000.0,,,,,,,
408,278540,KODEX MSCI Korea TR,K Market,1X,39935.0,18024,728000000.0,,,,-15.198,,,
409,266410,KODEX 필수소비재,K Market,1X,9575.0,75950,723000000.0,,,,12.1862,,,
410,275280,KODEX 모멘텀주,K Market,1X,44055.0,16190,718000000.0,,,,-16.9644,,,
411,298770,KODEX 한국대만IT프리미어,K Market,1X,84235.0,8430,716000000.0,,,,-13.419,,,
412,227550,TIGER 200 산업재,K Market,1X,12390.0,58441,709000000.0,,,,-2.9953,,,
413,304660,KODEX 미국30년국채울트라선물(H),K Market,1X,7210.0,96907,700000000.0,,,,-3.9151,,,
414,266160,RISE 고배당,K Market,1X,33750.0,20198,685000000.0,,,,-11.0247,,,
415,433330,SOL 미국S&P500,K Market,1X,21865.0,31372,682000000.0,,,,-7.0475,,,
416,117460,KODEX 에너지화학,K Market,1X,13495.0,49150,674000000.0,,,,3.816,,,
417,315930,KODEX Top5PlusTR,K Market,1X,81245.0,8311,673000000.0,,,,-14.0159,,,
418,354500,ACE 코스닥150,K Market,1X,14070.0,47341,672000000.0,,,,-11.2252,,,
419,461500,HANARO 종합채권(AA-이상)액티브,K Market,1X,104980.0,6381,670000000.0,,,,-0.1568,,,
420,414780,TIGER 차이나과창판STAR50(합성),K Market,1X,13820.0,48078,662000000.0,,,,-20.6867,,,
421,446690,KODEX 아시아AI반도체exChina액티브,K Market,1X,60985.0,10666,657000000.0,,,,-23.4999,,,
422,479850,HANARO K-뷰티,K Market,1X,17675.0,36849,653000000.0,,,,23.8648,,,
423,456880,ACE 미국달러SOFR금리(합성),K Market,1X,11960.0,54782,652000000.0,,,,-11.14,,,
424,469160,ACE 일본반도체,K Market,1X,23900.0,26889,646000000.0,,,,-27.2482,,,
425,385720,TIME 코스피액티브,K Market,1X,25950.0,24566,642000000.0,,,,-17.9806,,,
426,0231Z0,KODEX 코리아TDF2065액티브 적격,K Market,1X,10430.0,60575,634000000.0,,,,,,,
427,0227L0,HANARO 미국에이전틱AI TOP2+,K Market,1X,10655.0,59795,628000000.0,,,,,,,
428,292190,KODEX KRX300,K Market,1X,49330.0,12615,627000000.0,,,,-14.6844,,,
429,0000Z0,RISE 바이오TOP10액티브,K Market,1X,8025.0,76762,621000000.0,,,,-21.2519,,,
430,0111J0,HANARO 증권고배당TOP3플러스,K Market,1X,12170.0,50687,620000000.0,,,,-13.8439,,,
431,471040,KoAct 글로벌AI&로봇액티브,K Market,1X,29860.0,20640,619000000.0,,,,-21.8431,,,
432,272560,RISE 단기국공채액티브,K Market,1X,114930.0,5375,617000000.0,,,,0.692,,,
433,0082V0,KODEX TDF2060액티브 적격,K Market,1X,11280.0,53732,604000000.0,,,,-7.6361,,,
434,0219Z0,HANARO 미국S&P500액티브,K Market,1X,10390.0,57858,604000000.0,,,,,,,
435,474800,KIWOOM 미국원유에너지기업,K Market,1X,15515.0,39826,603000000.0,,,,0.2315,,,
436,475080,KODEX 테슬라커버드콜채권혼합액티브,K Market,1X,7970.0,75586,601000000.0,,,,-2.726,,,
437,441680,TIGER 미국나스닥100커버드콜(합성),K Market,1X,10830.0,55726,600000000.0,,,,-7.6637,,,
438,275300,KODEX 우량주,K Market,1X,30690.0,19161,594000000.0,,,,-15.9281,,,
439,465330,RISE 2차전지TOP10,K Market,1X,11130.0,52696,593000000.0,,,,-0.9748,,,
440,468380,KODEX iShares미국하이일드액티브,K Market,1X,10660.0,55503,590000000.0,,,,-11.5338,,,
441,490480,SOL K방산,K Market,1X,28270.0,21123,587000000.0,,,,-14.6184,,,
442,477050,PLUS 머니마켓액티브,K Market,1X,53605.0,10924,585000000.0,,,,0.9222,,,
443,415340,KODEX 차이나과창판STAR50(합성),K Market,1X,14070.0,41196,580000000.0,,,,-21.5534,,,
444,152500,ACE 레버리지,K Market,2X,48010.0,11935,573000000.0,12.83,1.11,11.06,-41.78,51.91,338.69,629.64
445,139240,TIGER 200 철강소재,K Market,1X,11220.0,51219,565000000.0,,,,6.9101,,,
446,0041D0,KODEX 미국AI소프트웨어TOP10,K Market,1X,14025.0,40627,565000000.0,,,,15.2357,,,
447,451530,TIGER 국고채30년스트립액티브,K Market,1X,34555.0,15812,554000000.0,,,,-7.1298,,,
448,429000,TIGER 미국S&P500배당귀족,K Market,1X,12745.0,43603,554000000.0,,,,-9.6192,,,
449,442320,RISE 글로벌원자력,K Market,1X,35065.0,15927,552000000.0,,,,-17.9537,,,
450,463290,1Q 단기금융채액티브,K Market,1X,109430.0,5014,548000000.0,,,,0.7966,,,
451,433980,KODEX TDF2040액티브 적격,K Market,1X,15820.0,34559,545000000.0,,,,-6.3875,,,
452,461490,RISE 글로벌자산배분액티브,K Market,1X,14580.0,37264,542000000.0,,,,-2.8268,,,
453,473290,KODEX 26-12 회사채(AA-이상)액티브,K Market,1X,10895.0,49421,538000000.0,,,,0.7863,,,
454,218420,KODEX 미국S&P500에너지(합성),K Market,1X,19945.0,26823,523000000.0,,,,1.7174,,,
455,488500,TIGER 미국S&P500동일가중,K Market,1X,12220.0,43065,523000000.0,,,,-9.2455,,,
456,448540,ACE 엔비디아채권혼합,K Market,1X,26630.0,19406,517000000.0,,,,0.5647,,,
457,139250,TIGER 200 에너지화학,K Market,1X,17530.0,28706,511000000.0,,,,2.0231,,,
458,0049M0,ACE 미국배당퀄리티+커버드콜액티브,K Market,1X,11095.0,46005,508000000.0,,,,-8.9799,,,
